# ----------------------------------------
# Aerlingus.com All Website Traffic (excluding internal EI traffic) UA
# New Custom Report
# 20180212-20180212
# ----------------------------------------

Transaction ID,Booked Origin Airport,Booked Destination Airport,trans_Date,Quantity
23SXQF|88b3a32ecb273fae4119d48706dceddf0392d50b,DUB,BCN,2018-02-12T02:37:47.790Z,2
23SYH6|d367882bc9cc6d3a4a9a188c8423613aea185176,DUB,KIR,2018-02-12T03:06:22.639Z,2
23T6RW|5c61a351597a74d93df33c64245505d54871ce02,AGP,DUB,2018-02-12T08:16:41.463Z,2
23T77S|82113a2b5b18eeb545de0bcda02d6d2960b2ff66,AMS,DUB,2018-02-12T08:27:48.425Z,2
23T77S|82113a2b5b18eeb545de0bcda02d6d2960b2ff66,DUB,AMS,2018-02-12T08:27:48.425Z,2
23TBJN|ea29508e85233573015a97701394657cc34d37af,DUB,VCE,2018-02-12T09:34:54.216Z,2
23TBJN|ea29508e85233573015a97701394657cc34d37af,VCE,DUB,2018-02-12T09:34:54.216Z,2
24LAXS|4be497b509f93c20f87f060589fd2a5d05d6687d,EDI,DUB,2018-02-11T23:56:54.445Z,2
24LB7B|260f05819dcb36100db0facac0ac04456cc186db,CDG,DUB,2018-02-12T00:10:18.968Z,2
24LCK2|17b3af22de720e705e299bba198651b32f3a270a,EDI,DUB,2018-02-12T00:34:54.183Z,2
24LCV6|9624ad90cf49f17d7376d8880bf9d44833b644e0,AMS,DUB,2018-02-12T00:50:40.683Z,2
24LE5W|9ca1819e61a3789047523311696b67e7019f8812,DUB,TXL,2018-02-12T01:58:14.505Z,2
24LEPN|a864e4e3dbab6431174e51e3124dfa117f70ffd1,ORK,FAO,2018-02-12T02:33:42.657Z,2
24LGZB|0688144244b31b57b182547f66b85bf25613913b,CDG,DUB,2018-02-12T05:26:34.139Z,2
24LNQ2|580fe82fa97deef91fe5c9a96de7476377362f3e,DUB,MUC,2018-02-12T08:42:25.851Z,2
24LNQ2|580fe82fa97deef91fe5c9a96de7476377362f3e,MUC,DUB,2018-02-12T08:42:25.851Z,2
24LPG2|088c0b5155faae4b57eddbed7f0b7c242b6c2506,BRU,DUB,2018-02-12T09:04:29.851Z,2
24LPG2|088c0b5155faae4b57eddbed7f0b7c242b6c2506,DUB,BRU,2018-02-12T09:04:29.851Z,2
24LPH6|178c5fa96b73a2e5ba684a9824cdfc9a70aadf05,DUB,MAN,2018-02-12T09:06:48.838Z,2
24LPH6|178c5fa96b73a2e5ba684a9824cdfc9a70aadf05,MAN,DUB,2018-02-12T09:06:48.838Z,2
24LQVN|0adf174381634a28a5c7bdd3bd0cd4a2f6fce2fa,SNN,FAO,2018-02-12T09:48:09.376Z,2
2536QF|d5c1a1c6b400d08102248e279ff0868804aa2d63,BOD,DUB,2018-02-12T00:26:30.378Z,2
2536QF|d5c1a1c6b400d08102248e279ff0868804aa2d63,DUB,BOD,2018-02-12T00:26:30.378Z,2
2538WN|71f49fa0f69b2f7983ba61b143b13a0d5ac30485,BHD,LHR,2018-02-12T01:47:03.341Z,2
253H3F|d05e6796854509b79258605fb95e0f612d23ec0e,BHD,LHR,2018-02-12T06:25:02.661Z,2
253IK2|0e119474e6916264a3532c0ea5946fcce7477f1d,NQY,DUB,2018-02-12T07:15:23.064Z,2
253K8B|6000a22a85fabf7cd7c19c9a2abe96901776f9db,LHR,ORK,2018-02-12T07:56:37.570Z,2
253NDW|70b3d6384112634e3e772543d125a55b75d04a97,DUB,GVA,2018-02-12T09:02:38.763Z,2
253Q4S|33163415ca789aba99b19d535dd4ea5f851cf3e3,DUB,GVA,2018-02-12T09:17:32.352Z,2
253Q4S|33163415ca789aba99b19d535dd4ea5f851cf3e3,GVA,DUB,2018-02-12T09:17:32.352Z,2
253Q8W|a5f8fb48cbc7af3157c8914c787134da2fa7af41,TFS,DUB,2018-02-12T09:19:54.966Z,2
27GRHB|5999e46db7c3c3471fe11cab6b5cc3124f70cd78,DUB,IAD,2018-02-12T00:05:58.228Z,2
27GRHB|5999e46db7c3c3471fe11cab6b5cc3124f70cd78,IAD,DUB,2018-02-12T00:05:58.228Z,2
